"","spcode","treatment","nfixer","pred_rgr","pred_d13c","pred_d15n","pred_total_biomass_2","pred_above_biomass_2","pred_below_biomass_exp","pred_amax_exp","pred_wue_exp","pred_pnue_exp"
"73","pq","plus_nutrients","nonfixer",0.00654854286109582,-29.0029818819379,0.165962851741143,6.16554889509788,2.84356461931798,2.98249865247749,6.51324537868417,2.98790348532066,53.4444460832473
"74","pq","plus_nutrients","nonfixer",0.00808293534015559,-29.1317357762535,-0.164153603552409,5.49900535818036,2.49811576447644,2.78061177552014,6.8514509824763,3.02582171956799,55.4428812445311
"75","pq","plus_nutrients","nonfixer",0.00808293534015559,-29.1317357762535,-0.164153603552409,5.49900535818036,2.49811576447644,2.78061177552014,6.8514509824763,3.02582171956799,55.4428812445311
"76","pq","plus_nutrients","nonfixer",0.00725150619068301,-29.0619689191403,0.0147239961473808,5.85544854679293,2.6825255387286,2.88824869183058,6.6660666891852,3.00521592261528,54.3509036788812
"77","gs","no_additions","fixer",0.00471364182416633,-28.2557352640078,-1.25620222529552,10.5054022219286,4.48927921024894,5.26912680012942,11.3634770575621,3.40778923273184,59.7332522355317
"78","gs","no_additions","fixer",0.00453478615426004,-28.2407271325583,-1.21772237052277,10.6099792541116,4.54166375586305,5.31235220834213,11.2966209313582,3.40278358716766,59.4781906663761
"79","gs","no_additions","fixer",0.00257031481125347,-28.0758844738935,-0.795076714258557,11.7926929122829,5.13702986518441,5.81110654169641,10.5876889941594,3.3482853285532,56.7473745293446
"80","gs","no_additions","fixer",0.00280422428897082,-28.0955122787638,-0.845401105636527,11.6485902765153,5.06421711576742,5.74934602005986,10.6697116438832,3.35472838021052,57.0658415127957
"81","gs","plus_water_nutrients","fixer",0.00635682311710209,-27.8790496251861,-1.23990848264702,17.9212961491523,8.20201484089418,9.71194264649026,11.8592162425043,2.85879505198902,64.2150340422555
"82","gs","plus_water_nutrients","fixer",0.00635682311710209,-27.8790496251861,-1.23990848264702,17.9212961491523,8.20201484089418,9.71194264649026,11.8592162425043,2.85879505198902,64.2150340422555
"83","gs","plus_water_nutrients","fixer",0.00662514962631404,-27.9015654309403,-1.29763751696594,17.7174706076557,8.09643761815472,9.5936294327548,11.9646673819293,2.86510650540246,64.628605067865
